125	256	6000	256	16	128	198	199	1
29	8000	32000	32	8	32	269	253	2
29	8000	32000	32	8	32	220	253	3
29	8000	32000	32	8	32	172	253	1
29	8000	16000	32	8	16	132	132	2
26	8000	32000	64	8	32	318	290	3
23	16000	32000	64	16	32	367	381	1
23	16000	32000	64	16	32	489	381	2
23	16000	64000	64	16	32	636	749	3
23	32000	64000	128	32	64	1144	1238	2
400	1000	3000	0	1	2	38	23	3
400	512	3500	4	1	6	40	24	2
60	2000	8000	65	1	8	92	70	1
50	4000	16000	65	1	8	138	117	1
350	64	64	0	1	4	10	15	1
200	512	16000	0	4	32	35	64	2
167	524	2000	8	4	15	19	23	2
143	512	5000	0	7	32	28	29	3
143	1000	2000	0	5	16	31	22	1
110	5000	5000	142	8	64	120	124	3
143	1500	6300	0	5	32	30	35	2
143	3100	6200	0	5	20	33	39	3
143	2300	6200	0	6	64	61	40	2
110	3100	6200	0	6	64	76	45	1
320	128	6000	0	1	12	23	28	2
320	512	2000	4	1	3	69	21	3
320	256	6000	0	1	6	33	28	2
320	256	3000	4	1	3	27	22	1
320	512	5000	4	1	5	77	28	3
320	256	5000	4	1	6	27	27	2
25	1310	2620	131	12	24	274	102	1
25	1310	2620	131	12	24	368	102	3
50	2620	10480	30	12	24	32	74	1
50	2620	10480	30	12	24	63	74	3
56	5240	20970	30	12	24	106	138	2
64	5240	20970	30	12	24	208	136	1
50	500	2000	8	1	4	20	23	2
50	1000	4000	8	1	5	29	29	3
50	2000	8000	8	1	5	71	44	2
50	1000	4000	8	3	5	26	30	1
50	1000	8000	8	3	5	36	41	2
50	2000	16000	8	3	5	40	74	3
50	2000	16000	8	3	6	52	74	2
50	2000	16000	8	3	6	60	74	1
133	1000	12000	9	3	12	72	54	2
133	1000	8000	9	3	12	72	41	3
810	512	512	8	1	1	18	18	2
810	1000	5000	0	1	1	20	28	1
320	512	8000	4	1	5	40	36	2
200	512	8000	8	1	8	62	38	3
700	384	8000	0	1	1	24	34	2
700	256	2000	0	1	1	24	19	1
140	1000	16000	16	1	3	138	72	2
200	1000	8000	0	1	2	36	36	3
110	1000	4000	16	1	2	26	30	2
110	1000	12000	16	1	2	60	56	1
220	1000	8000	16	1	2	71	42	1
800	256	8000	0	1	4	12	34	1
800	256	8000	0	1	4	14	34	1
800	256	8000	0	1	4	20	34	1
800	256	8000	0	1	4	16	34	2
800	256	8000	0	1	4	22	34	2
125	512	1000	0	8	20	36	19	2
75	2000	8000	64	1	38	144	75	2
75	2000	16000	64	1	38	144	113	3
75	2000	16000	128	1	38	259	157	3
90	256	1000	0	3	10	17	18	2
105	256	2000	0	3	10	26	20	2
105	1000	4000	0	3	24	32	28	1
105	2000	4000	8	3	19	32	33	2
75	2000	8000	8	3	24	62	47	3
75	3000	8000	8	3	48	64	54	2
175	256	2000	0	3	24	22	20	2
300	768	3000	0	6	24	36	23	1
300	768	3000	6	6	24	44	25	2
300	768	12000	6	6	24	50	52	3
300	768	4500	0	1	24	45	27	1
300	384	12000	6	1	24	53	50	2
300	192	768	6	6	24	36	18	3
180	768	12000	6	1	31	84	53	2
330	1000	3000	0	2	4	16	23	1
300	1000	4000	8	3	64	38	30	3
300	1000	16000	8	2	112	38	73	2
330	1000	2000	0	1	2	16	20	1
330	1000	4000	0	3	6	22	25	2
140	2000	4000	0	3	6	29	28	3
140	2000	4000	0	4	8	40	29	2
140	2000	4000	8	1	20	35	32	2
140	2000	32000	32	1	20	134	175	3
140	2000	8000	32	1	54	66	57	3
140	2000	32000	32	1	54	141	181	2
140	2000	32000	32	1	54	189	181	1
140	2000	4000	8	1	20	22	32	3
57	4000	16000	1	6	12	132	82	1
57	4000	24000	64	12	16	237	171	3
26	16000	32000	64	16	24	465	361	3
26	16000	32000	64	8	24	465	350	1
26	8000	32000	0	8	24	277	220	3
26	8000	16000	0	8	16	185	113	1
480	96	512	0	1	1	6	15	2
